DateTime,Nitrate,Ammonium,Sulfate,Organics,Chloride
5/11/2024 22:38,0.21014729,0.14820115,0.8494879,1.1865189,0.17539136
5/11/2024 22:48,0.17417406,0.33971792,0.87106895,1.1020436,0.18610352
5/11/2024 22:58,0.21991353,0.20395197,0.87022334,1.0399213,0.18674761
5/11/2024 23:08,0.23042296,0.22198361,0.88403648,1.060081,0.17763735
5/11/2024 23:18,0.21305889,0.26959985,0.91161108,1.1241965,0.17548263
5/11/2024 23:28,0.23262393,0.27821955,0.9140529,1.3956823,0.12769033
5/11/2024 23:38,0.25034389,0.24355339,0.91958708,1.3117021,0.13948986
5/11/2024 23:48,0.2676706,0.38075632,0.90125901,1.356001,0.1426504
5/11/2024 23:58,0.2774885,0.33526921,0.90381789,1.5463593,0.12191606
6/11/2024 0:08,0.30515546,0.44068033,0.91649765,1.5296907,0.15254144
6/11/2024 0:18,0.31596011,0.32981884,0.88603413,1.7375474,0.12134249
6/11/2024 0:28,0.26865393,0.26717433,0.88237655,1.7906069,0.12106308
6/11/2024 0:38,0.36304206,0.38423213,0.85171026,2.0913651,0.14493692
6/11/2024 0:48,0.42440423,0.37304884,0.64374405,2.7944837,0.076136433
6/11/2024 0:58,0.44645977,0.19778669,0.70682698,2.9680672,0.083911233
6/11/2024 1:08,0.51400071,0.27727169,0.63513064,3.1990192,0.063853525
6/11/2024 1:18,0.48426625,0.12256777,0.59183729,2.8915255,0.06722828
6/11/2024 1:28,0.55593985,0.32984197,0.56552625,3.1764543,0.085258506
6/11/2024 1:38,0.58546215,0.31587821,0.56356859,3.1172884,0.10248365
6/11/2024 1:48,0.55276537,0.23563331,0.54247826,2.9488785,0.10174838
6/11/2024 1:58,0.4906314,0.2851122,0.54013467,2.8823919,0.13162296
6/11/2024 2:08,0.42463636,0.31994855,0.47537166,2.6983511,0.17263028
6/11/2024 2:18,0.30612031,0.26695022,0.41217428,2.3822935,0.22625954
6/11/2024 2:28,0.30831894,0.13108365,0.41250715,2.3885965,0.2452143
6/11/2024 2:38,0.27196696,0.19881397,0.41300508,2.3381023,0.2016118
6/11/2024 2:48,0.29444903,0.085363731,0.40433237,2.3154871,0.20835543
6/11/2024 2:58,0.2916632,0.27844805,0.40347964,2.2649059,0.26487619
6/11/2024 3:08,0.21918495,0.19750467,0.42287627,2.2849238,0.2842111
6/11/2024 3:18,0.25632146,0.27604887,0.38818145,2.4936652,0.2225538
6/11/2024 3:28,0.23604693,0.17070115,0.38564187,2.3824637,0.2075593
6/11/2024 3:38,0.27376801,0.10884137,0.39426291,2.4547157,0.19942462
6/11/2024 3:48,0.25159621,0.22535703,0.3927134,2.4447706,0.21403019
6/11/2024 3:58,0.26014686,0.13830592,0.42842373,2.5482118,0.27290693
